,doc_id,text,country,year,coding,difficult
AUS_46_1991.txt.1,AUS_46_1991.txt.1,"I congratulate you, Sir, on your election as President of the forty-sixth session of the General Assembly.",AUS,1991,greeting,0
AUS_46_1991.txt.2,AUS_46_1991.txt.2,"I am sure we will all benefit from your long experience here in the United Nations, and from your authority as President that derives from that experience.",AUS,1991,greeting,0
AUS_46_1991.txt.3,AUS_46_1991.txt.3,Australia enjoys strong bonds of friendship with Saudi Arabia and is honoured to serve with you as one of your Vice-Presidents for this session.,AUS,1991,greeting,0
AUS_46_1991.txt.4,AUS_46_1991.txt.4,"Australia warmly welcomes to membership of this body our Pacific island neighbours, the Federated States of Micronesia and the Republic of the Marshall Islands.",AUS,1991,greeting,0
AUS_46_1991.txt.5,AUS_46_1991.txt.5,"Equally, as a country of the Asia-Pacific region, we welcome the arrival at last of the Republic of Korea and the Democratic People's Republic of Korea.",AUS,1991,greeting,0
AUS_46_1991.txt.6,AUS_46_1991.txt.6,"And Australia having been among the first countries to establish diplomatic relations with Lithuania, Latvia and Estonia, we are delighted now to welcome those countries too to United Nations membership.",AUS,1991,greeting,0
AUS_46_1991.txt.7,AUS_46_1991.txt.7,"Mr. President, you are presiding over the General Assembly at a time when the United Nations is at last attaining the coherence and momentum necessary to meet the goals of its founders.",AUS,1991,un,1
AUS_46_1991.txt.8,AUS_46_1991.txt.8,"The United Nations has sometimes been perceived as an autonomous entity - good or bad, progressive or retrograde, vibrant or moribund, according to the eye of the beholder.",AUS,1991,un,0
AUS_46_1991.txt.9,AUS_46_1991.txt.9,"In fact, it can do no more than reflect the wishes of its Members and the relationships between them.",AUS,1991,un,1
AUS_46_1991.txt.10,AUS_46_1991.txt.10,"Its success depends on the membership's capacity for compromise rather than confrontation, for generosity rather than greed, for humanitarianism rather than hostility - and for a measure of idealism.",AUS,1991,un,1
AUS_46_1991.txt.11,AUS_46_1991.txt.11,"Throughout the United Nations system a quite dramatic change of atmosphere has been evident since 1989, most markedly, though not exclusively, in security matters following the collapse of the cold war.",AUS,1991,un,0
AUS_46_1991.txt.12,AUS_46_1991.txt.12,"Both the forty-fourth and the forty-fifth sessions of the General Assembly have been widely remarked as having been among the most harmonious and cooperative on record, with major progress on issues such as the environment, human rights and even the reform and rationalization of the United Nations administrative system itself.",AUS,1991,un,1
AUS_46_1991.txt.13,AUS_46_1991.txt.13,"The old and all-too-familiar voting blocs acted less cohesively, and with more regard to consensus.",AUS,1991,un,1
AUS_46_1991.txt.14,AUS_46_1991.txt.14,"These atmospheric developments are partly attributable, of course, to flow-on effects from the end of the cold war, but they appear to owe rather more to an emerging world-wide recognition that a great many problems can really only be dealt with effectively by cooperation on a multilateral, and in some cases global, scale.",AUS,1991,un,1
